federal_account_code,account_title,short_account_title,agency_identifier,main_account_code,managing_agency,managing_agency_acronym,parent_agency_toptier_code,bureau_name,bureau_slug,account_id,budgetary_resources_fy2026
086-0233,"Native Hawaiian Housing Loan Guarantee Fund Program Account, Public and Indian Housing, Housing and Urban Development","Native Hawaiian Housing Loan Guarantee Fund Program Account, Public and Indian Housing, Housing and Urban Development",086,0233,Department of Housing and Urban Development,HUD,086,Public and Indian Housing Programs,public-and-indian-housing-programs,5689,135732.97
086-0235,"Native Hawaiian Housing Block Grant, Public and Indian Housing, Housing and Urban Development","Native Hawaiian Housing Block Grant, Public and Indian Housing, Housing and Urban Development",086,0235,Department of Housing and Urban Development,HUD,086,Public and Indian Housing Programs,public-and-indian-housing-programs,5691,22310730.17
086-0236,"FHA, Mutual Mortgage Insurance Capital Reserve Account, Housing and Urban Development","FHA, Mutual Mortgage Insurance Capital Reserve Account, Housing and Urban Development",086,0236,Department of Housing and Urban Development,HUD,086,Housing Programs,housing-programs,5692,198678905804.66
086-0237,"Housing for Persons with Disabilities, Housing Programs, Housing and Urban Development","Housing for Persons with Disabilities, Housing Programs, Housing and Urban Development",086,0237,Department of Housing and Urban Development,HUD,086,Housing Programs,housing-programs,5693,642728367.28
086-0238,"Guarantees of Mortgage-Backed Securities Capital Reserve Account, Government National Mortgage Association, Housing and Urban Development","Guarantees of Mortgage-Backed Securities Capital Reserve Account, Government National Mortgage Association, Housing and Urban Development",086,0238,Department of Housing and Urban Development,HUD,086,Government National Mortgage Association,government-national-mortgage-association,5694,30973112141.04
086-0302,"Tenant-Based Rental Assistance, Public and Indian Housing, Housing and Urban Development","Tenant-Based Rental Assistance, Public and Indian Housing, Housing and Urban Development",086,0302,Department of Housing and Urban Development,HUD,086,Public and Indian Housing Programs,public-and-indian-housing-programs,5695,39811957667.0
086-0303,"Project-Based Rental Assistance, Housing Programs, Housing and Urban Development","Project-Based Rental Assistance, Housing Programs, Housing and Urban Development",086,0303,Department of Housing and Urban Development,HUD,086,Housing Programs,housing-programs,5696,18853485475.3
086-0304,"Public Housing Capital Fund, Public and Indian Housing, Housing and Urban Development","Public Housing Capital Fund, Public and Indian Housing, Housing and Urban Development",086,0304,Department of Housing and Urban Development,HUD,086,Public and Indian Housing Programs,public-and-indian-housing-programs,5697,39077894.47
086-0308,"Housing Opportunities for Persons with AIDS, Community Planning and Development, Housing and Urban Development","Housing Opportunities for Persons with AIDS, Community Planning and Development, Housing and Urban Development",086,0308,Department of Housing and Urban Development,HUD,086,Community Planning and Development,community-planning-and-development,5700,845149293.08
086-0311,"Prevention of Resident Displacement, Housing Programs, Housing and Urban Development","Prevention of Resident Displacement, Housing Programs, Housing and Urban Development",086,0311,Department of Housing and Urban Development,HUD,086,Public and Indian Housing Programs,public-and-indian-housing-programs,5701,
086-0313,"Native American Programs, Public and Indian Housing, Housing and Urban Development","Native American Programs, Public and Indian Housing, Housing and Urban Development",086,0313,Department of Housing and Urban Development,HUD,086,Public and Indian Housing Programs,public-and-indian-housing-programs,5702,1604221411.86
086-0314,"Brownfields Redevelopment, Community Planning and Development, Housing and Urban Development","Brownfields Redevelopment, Community Planning and Development, Housing and Urban Development",086,0314,Department of Housing and Urban Development,HUD,086,Community Planning and Development,community-planning-and-development,5703,5302286.91
086-0315,"Empowerment Zones/Enterprise Communities, Community Planning and Development, Housing and Urban Development","Empowerment Zones/Enterprise Communities, Community Planning and Development, Housing and Urban Development",086,0315,Department of Housing and Urban Development,HUD,086,Community Planning and Development,community-planning-and-development,5704,
086-0319,"Housing Certificate Fund, Public and Indian Housing, Housing and Urban Development","Housing Certificate Fund, Public and Indian Housing, Housing and Urban Development",086,0319,Department of Housing and Urban Development,HUD,086,Public and Indian Housing Programs,public-and-indian-housing-programs,5706,217793.0
086-0320,"Housing for the Elderly, Housing Programs, Housing and Urban Development","Housing for the Elderly, Housing Programs, Housing and Urban Development",086,0320,Department of Housing and Urban Development,HUD,086,Housing Programs,housing-programs,5707,1208036882.97
086-0324,"Rural Housing and Economic Development, Public and Indian Housing, Housing and Urban Development","Rural Housing and Economic Development, Public and Indian Housing, Housing and Urban Development",086,0324,Department of Housing and Urban Development,HUD,086,Community Planning and Development,community-planning-and-development,5708,
086-0328,"Administration, Operations, and Management-Recovery Act, Housing and Urban Development","Administration, Operations, and Management-Recovery Act, Housing and Urban Development",086,0328,Department of Housing and Urban Development,HUD,086,Management and Administration,management-and-administration,5710,
086-0332,"Executive Offices, Management and Administration, Housing and Urban Development","Executive Offices, Management and Administration, Housing and Urban Development",086,0332,Department of Housing and Urban Development,HUD,086,Management and Administration,management-and-administration,5712,24367280.8
086-0334,"Housing, Program Office Salaries and Expenses, Housing and Urban Development","Housing, Program Office Salaries and Expenses, Housing and Urban Development",086,0334,Department of Housing and Urban Development,HUD,086,Management and Administration,management-and-administration,5714,
086-0335,"Administrative Support Offices, Management and Administration, Housing and Urban Development","Administrative Support Offices, Management and Administration, Housing and Urban Development",086,0335,Department of Housing and Urban Development,HUD,086,Management and Administration,management-and-administration,5715,717960491.55
086-0337,"Public and Indian Housing, Program Office Salaries and Expenses, Housing and Urban Development","Public and Indian Housing, Program Office Salaries and Expenses, Housing and Urban Development",086,0337,Department of Housing and Urban Development,HUD,086,Management and Administration,management-and-administration,5717,131006.59
086-0338,"Community Planning and Development, Program Office Salaries and Expenses, Housing and Urban Development","Community Planning and Development, Program Office Salaries and Expenses, Housing and Urban Development",086,0338,Department of Housing and Urban Development,HUD,086,Management and Administration,management-and-administration,5718,21724562.48
086-0339,"Policy Development and Research, Program Office Salaries and Expenses, Housing and Urban Development","Policy Development and Research, Program Office Salaries and Expenses, Housing and Urban Development",086,0339,Department of Housing and Urban Development,HUD,086,Management and Administration,management-and-administration,5719,
086-0340,"Fair Housing and Equal Opportunity, Program Office Salaries and Expenses, Housing and Urban Development","Fair Housing and Equal Opportunity, Program Office Salaries and Expenses, Housing and Urban Development",086,0340,Department of Housing and Urban Development,HUD,086,Management and Administration,management-and-administration,5720,
086-0341,"Office of Healthy Homes and Lead Hazard Control, Program Office Salaries and Expenses, Housing and Urban Development","Office of Healthy Homes and Lead Hazard Control, Program Office Salaries and Expenses, Housing and Urban Development",086,0341,Department of Housing and Urban Development,HUD,086,Management and Administration,management-and-administration,5721,
086-0342,"Permanent Supportive Housing, Housing and Urban Development","Permanent Supportive Housing, Housing and Urban Development",086,0342,Department of Housing and Urban Development,HUD,086,Community Planning and Development,community-planning-and-development,5722,
086-0343,"Home Ownership Preservation Entity Fund Program Account, Housing and Urban Development","Home Ownership Preservation Entity Fund Program Account, Housing and Urban Development",086,0343,Department of Housing and Urban Development,HUD,086,Housing Programs,housing-programs,5723,7319666.33
086-0344,"Neighborhood Stabilization Program, Community Planning and Development, Housing and Urban Development","Neighborhood Stabilization Program, Community Planning and Development, Housing and Urban Development",086,0344,Department of Housing and Urban Development,HUD,086,Community Planning and Development,community-planning-and-development,5724,4581187.72
086-0345,"Personnel Compensation and Benefits - Recovery Act, Office of Public and Indian Housing, Housing and Urban Development","Personnel Compensation and Benefits - Recovery Act, Office of Public and Indian Housing, Housing and Urban Development",086,0345,Department of Housing and Urban Development,HUD,086,Management and Administration,management-and-administration,5725,
086-0346,"Personnel Compensation and Benefits - Recovery Act, Community Planning and Development, Housing and Urban Development","Personnel Compensation and Benefits - Recovery Act, Community Planning and Development, Housing and Urban Development",086,0346,Department of Housing and Urban Development,HUD,086,Management and Administration,management-and-administration,5726,
086-0347,"Personnel Compensation and Benefits - Recovery Act, Office of Lead Hazard Control and Healthy Homes, Housing and Urban Development","Personnel Compensation and Benefits - Recovery Act, Office of Lead Hazard Control and Healthy Homes, Housing and Urban Development",086,0347,Department of Housing and Urban Development,HUD,086,Management and Administration,management-and-administration,5727,
086-0349,"Choice Neighborhoods Initiative, Public and Indian Housing Programs, Housing and Urban Development","Choice Neighborhoods Initiative, Public and Indian Housing Programs, Housing and Urban Development",086,0349,Department of Housing and Urban Development,HUD,086,Public and Indian Housing Programs,public-and-indian-housing-programs,5729,100101437.12
086-0350,"Self-Sufficiency Programs, Public and Indian Housing, Housing and Urban Development","Self-Sufficiency Programs, Public and Indian Housing, Housing and Urban Development",086,0350,Department of Housing and Urban Development,HUD,086,Public and Indian Housing Programs,public-and-indian-housing-programs,5730,432037325.09
086-0401,"Energy Innovation Fund, Housing Programs, Housing and Urban Development","Energy Innovation Fund, Housing Programs, Housing and Urban Development",086,0401,Department of Housing and Urban Development,HUD,086,Housing Programs,housing-programs,5731,
086-0402,"Transformation Initiative, Management and Administration, Housing and Urban Development","Transformation Initiative, Management and Administration, Housing and Urban Development",086,0402,Department of Housing and Urban Development,HUD,086,Management and Administration,management-and-administration,5732,
086-0407,"Emergency Homeowner's Relief Fund, Housing Programs, Housing and Urban Development","Emergency Homeowner's Relief Fund, Housing Programs, Housing and Urban Development",086,0407,Department of Housing and Urban Development,HUD,086,Housing Programs,housing-programs,5733,
086-0479,"Program Offices, Management and Administration, Housing and Urban Development","Program Offices, Management and Administration, Housing and Urban Development",086,0479,Department of Housing and Urban Development,HUD,086,Management and Administration,management-and-administration,6305,956090782.09
086-0480,Guarantees of Mortgage-Backed Securities Pass-Through Assistance,Guarantees of Mortgage-Backed Securities Pass-Through Assistance,086,0480,Department of Housing and Urban Development,HUD,086,Government National Mortgage Association,government-national-mortgage-association,6336,0.0
086-0481,"Public Housing Fund, Public and Indian Housing, Housing and Urban Development","Public Housing Fund, Public and Indian Housing, Housing and Urban Development",086,0481,Department of Housing and Urban Development,HUD,086,Public and Indian Housing Programs,public-and-indian-housing-programs,6364,9262268513.64
086-0482,"Green and Resilient Retrofit Program for Multifamily Housing, Housing Programs, Housing and Urban Development","Green and Resilient Retrofit Program for Multifamily Housing, Housing Programs, Housing and Urban Development",086,0482,Department of Housing and Urban Development,HUD,086,Housing Programs,housing-programs,6482,6458699.27
086-0483,"Preservation and Reinvestment Initiative for Community Enhancement, Community Planning and Development, Housing and Urban Development","Preservation and Reinvestment Initiative for Community Enhancement, Community Planning and Development, Housing and Urban Development",086,0483,Department of Housing and Urban Development,HUD,086,Community Planning and Development,community-planning-and-development,6507,10000000.0
086-0484,"Assisted Housing Inspections and Risk Assessments, Public and Indian Housing, Housing & Urban Development","Assisted Housing Inspections and Risk Assessments, Public and Indian Housing, Housing & Urban Development",086,0484,Department of Housing and Urban Development,HUD,086,Public and Indian Housing Programs,public-and-indian-housing-programs,7010,62267311.87
086-4015,"Revolving Fund, Liquidating Programs, Housing and Urban Development","Revolving Fund, Liquidating Programs, Housing and Urban Development",086,4015,Department of Housing and Urban Development,HUD,086,Community Planning and Development,community-planning-and-development,5735,129897.36
086-4041,"Rental Housing Assistance Fund, Federal Housing Administration, Housing and Urban Development","Rental Housing Assistance Fund, Federal Housing Administration, Housing and Urban Development",086,4041,Department of Housing and Urban Development,HUD,086,Housing Programs,housing-programs,5736,16369929.51
086-4044,"Flexible Subsidy Fund, Housing Programs, Housing and Urban Development","Flexible Subsidy Fund, Housing Programs, Housing and Urban Development",086,4044,Department of Housing and Urban Development,HUD,086,Housing Programs,housing-programs,5738,8719478.26
086-4058,"College Housing Loans, Housing and Urban Development","College Housing Loans, Housing and Urban Development",086,4058,Department of Housing and Urban Development,HUD,086,Housing Programs,housing-programs,5739,0.0
086-4070,"Federal Housing Administration Fund, Housing and Urban Development","Federal Housing Administration Fund, Housing and Urban Development",086,4070,Department of Housing and Urban Development,HUD,086,Housing Programs,housing-programs,5740,23119407.85
086-4071,"Nehemiah Housing Opportunity Fund, Housing and Urban Development","Nehemiah Housing Opportunity Fund, Housing and Urban Development",086,4071,Department of Housing and Urban Development,HUD,086,Housing Programs,housing-programs,5741,405000.0
086-4072,"FHA-General and Special Risk Insurance Fund Liquidating Account, Housing and Urban Development","FHA-General and Special Risk Insurance Fund Liquidating Account, Housing and Urban Development",086,4072,Department of Housing and Urban Development,HUD,086,Housing Programs,housing-programs,5742,96956003.14
086-4097,"Section 8-Community Development Guaranteed Loans, Liquidating Account, Housing and Urban Development","Section 8-Community Development Guaranteed Loans, Liquidating Account, Housing and Urban Development",086,4097,Department of Housing and Urban Development,HUD,086,Community Planning and Development,community-planning-and-development,5743,
086-4115,"Housing for the Elderly or Handicapped Fund, Housing and Urban Development","Housing for the Elderly or Handicapped Fund, Housing and Urban Development",086,4115,Department of Housing and Urban Development,HUD,086,Housing Programs,housing-programs,5745,33013443.46
086-4238,"Guarantees of Mortgage-Backed Securities Fund, Government National Mortgage Association, Housing and Urban Development","Guarantees of Mortgage-Backed Securities Fund, Government National Mortgage Association, Housing and Urban Development",086,4238,Department of Housing and Urban Development,HUD,086,Government National Mortgage Association,government-national-mortgage-association,5746,100057302.38
086-4585,"Working Capital Fund - Recovery Act, Departmental Management, Housing and Urban Development","Working Capital Fund - Recovery Act, Departmental Management, Housing and Urban Development",086,4585,Department of Housing and Urban Development,HUD,086,Management and Administration,management-and-administration,5747,
086-4586,"Information Technology Fund, Management and Administration, Housing and Urban Development","Information Technology Fund, Management and Administration, Housing and Urban Development",086,4586,Department of Housing and Urban Development,HUD,086,Management and Administration,management-and-administration,5748,529033586.13
086-4598,"Working Capital Fund, Management and Administration, Housing and Urban Development","Working Capital Fund, Management and Administration, Housing and Urban Development",086,4598,Department of Housing and Urban Development,HUD,086,Management and Administration,management-and-administration,5749,82419383.04
086-8093,"Gifts and Bequests, Housing and Urban Development","Gifts and Bequests, Housing and Urban Development",086,8093,Department of Housing and Urban Development,HUD,086,Management and Administration,management-and-administration,5755,
086-8119,"Manufactured Housing Fees Trust Fund, Housing Programs, Housing and Urban Development","Manufactured Housing Fees Trust Fund, Housing Programs, Housing and Urban Development",086,8119,Department of Housing and Urban Development,HUD,086,Housing Programs,housing-programs,5756,18377364.91
086-8560,"Housing Trust Fund, Community Planning and Development, Housing and Urban Development","Housing Trust Fund, Community Planning and Development, Housing and Urban Development",086,8560,Department of Housing and Urban Development,HUD,086,Community Planning and Development,community-planning-and-development,5757,331883975.25
088-0300,"Operating Expenses, National Archives and Records Administration","Operating Expenses, National Archives and Records Administration",088,0300,National Archives and Records Administration,NARA,088,National Archives and Records Administration,national-archives-and-records-administration,5758,461961891.52
088-0301,"National Historical Publications and Records Commission, National Archives and Records Administration","National Historical Publications and Records Commission, National Archives and Records Administration",088,0301,National Archives and Records Administration,NARA,088,National Archives and Records Administration,national-archives-and-records-administration,5759,35586604.26
088-0302,"Repairs and Restoration, National Archives and Records Administration","Repairs and Restoration, National Archives and Records Administration",088,0302,National Archives and Records Administration,NARA,088,National Archives and Records Administration,national-archives-and-records-administration,5760,57695447.3
088-0303,"Electronic Records Archive, National Archives and Records Administration","Electronic Records Archive, National Archives and Records Administration",088,0303,National Archives and Records Administration,NARA,088,National Archives and Records Administration,national-archives-and-records-administration,5761,
088-0305,"Office of Inspector General, National Archives and Records Administration","Office of Inspector General, National Archives and Records Administration",088,0305,National Archives and Records Administration,NARA,088,National Archives and Records Administration,national-archives-and-records-administration,5762,11301633.33
088-4578,"Records Center Revolving Fund, National Archives and Records Administration","Records Center Revolving Fund, National Archives and Records Administration",088,4578,National Archives and Records Administration,NARA,088,National Archives and Records Administration,national-archives-and-records-administration,5763,263038072.96
088-8127,"National Archives Gift Fund, National Archives and Records Administration","National Archives Gift Fund, National Archives and Records Administration",088,8127,National Archives and Records Administration,NARA,088,National Archives and Records Administration,national-archives-and-records-administration,5764,9753637.24
088-8436,"National Archives Trust Fund, National Archives and Records Administration","National Archives Trust Fund, National Archives and Records Administration",088,8436,National Archives and Records Administration,NARA,088,National Archives and Records Administration,national-archives-and-records-administration,5765,32245656.98
089-0208,"Title 17 Innovative Technology Loan Guarantee Program, Energy Programs, Energy","Title 17 Innovative Technology Loan Guarantee Program, Energy Programs, Energy",089,0208,Department of Energy,DOE,089,Energy Programs,energy-programs,5767,1117658347.24
089-0209,"Title 17-Innovative Technology Loan Guarantee Program-Recovery Act, Energy Programs, Energy","Title 17-Innovative Technology Loan Guarantee Program-Recovery Act, Energy Programs, Energy",089,0209,Department of Energy,DOE,089,Energy Programs,energy-programs,5768,96855276.09
089-0212,"Salaries and Expenses, Federal Energy Regulatory Commission, Energy","Salaries and Expenses, Federal Energy Regulatory Commission, Energy",089,0212,Department of Energy,DOE,089,Energy Programs,energy-programs,5770,683107432.98
089-0213,"Fossil Energy, Energy Programs, Energy","Fossil Energy, Energy Programs, Energy",089,0213,Department of Energy,DOE,089,Energy Programs,energy-programs,5771,8733061989.16
089-0215,"Energy Conservation, Energy","Energy Conservation, Energy",089,0215,Department of Energy,DOE,089,Energy Programs,energy-programs,5773,12.11
089-0216,"Energy Information Administration, Energy Programs, Energy","Energy Information Administration, Energy Programs, Energy",089,0216,Department of Energy,DOE,089,Energy Programs,energy-programs,5774,144865319.02
089-0218,"Strategic Petroleum Reserve, Energy Programs, Energy","Strategic Petroleum Reserve, Energy Programs, Energy",089,0218,Department of Energy,DOE,089,Energy Programs,energy-programs,5776,548652762.09
089-0219,"Naval Petroleum and Oil Shale Reserves, Energy Programs, Energy","Naval Petroleum and Oil Shale Reserves, Energy Programs, Energy",089,0219,Department of Energy,DOE,089,Energy Programs,energy-programs,5777,19206651.94
089-0222,"Science, Energy Programs, Energy","Science, Energy Programs, Energy",089,0222,Department of Energy,DOE,089,Energy Programs,energy-programs,5778,9856143214.67
089-0224,"Energy Supply, Energy","Energy Supply, Energy",089,0224,Department of Energy,DOE,089,Energy Programs,energy-programs,5779,6018574.41
089-0228,"Departmental Administration, Energy Programs, Energy","Departmental Administration, Energy Programs, Energy",089,0228,Department of Energy,DOE,089,Departmental Administration,departmental-administration,5781,632043367.95
089-0233,"SPR Petroleum Account, Energy Programs, Energy","SPR Petroleum Account, Energy Programs, Energy",089,0233,Department of Energy,DOE,089,Energy Programs,energy-programs,5782,277118910.15
089-0234,"Emergency Preparedness, Energy","Emergency Preparedness, Energy",089,0234,Department of Energy,DOE,089,Energy Programs,energy-programs,5783,
089-0235,"Clean Coal Technology, Energy Programs, Energy","Clean Coal Technology, Energy Programs, Energy",089,0235,Department of Energy,DOE,089,Energy Programs,energy-programs,5784,2114877.39
089-0236,"Office of the Inspector General, Energy Programs, Energy","Office of the Inspector General, Energy Programs, Energy",089,0236,Department of Energy,DOE,089,Departmental Administration,departmental-administration,5785,275694258.37
089-0237,"Office of the Inspector General - Recovery Act, Energy Programs, Energy","Office of the Inspector General - Recovery Act, Energy Programs, Energy",089,0237,Department of Energy,DOE,089,Departmental Administration,departmental-administration,5786,
089-0240,"Weapons Activities, National Nuclear Security Administration, Energy","Weapons Activities, National Nuclear Security Administration, Energy",089,0240,Department of Energy,DOE,089,National Nuclear Security Administration,national-nuclear-security-administration,5787,39436309793.57
089-0242,"Defense Environmental Restoration and Waste Management, Energy","Defense Environmental Restoration and Waste Management, Energy",089,0242,Department of Energy,DOE,089,Environmental and Other Defense Activities,environmental-and-other-defense-activities,5788,
089-0243,"Other Defense Activities, Environmental and Other Defense Activities, Energy","Other Defense Activities, Environmental and Other Defense Activities, Energy",089,0243,Department of Energy,DOE,089,Environmental and Other Defense Activities,environmental-and-other-defense-activities,5789,4440473480.23
089-0244,"Defense Nuclear Waste Disposal, Environmental and Other Defense Activities, Energy","Defense Nuclear Waste Disposal, Environmental and Other Defense Activities, Energy",089,0244,Department of Energy,DOE,089,Environmental and Other Defense Activities,environmental-and-other-defense-activities,5790,285407.59
089-0249,"Defense Environmental Services, Energy","Defense Environmental Services, Energy",089,0249,Department of Energy,DOE,089,Environmental and Other Defense Activities,environmental-and-other-defense-activities,5791,
089-0251,"Defense Environmental Cleanup, Environmental and Other Defense Activities, Energy","Defense Environmental Cleanup, Environmental and Other Defense Activities, Energy",089,0251,Department of Energy,DOE,089,Environmental and Other Defense Activities,environmental-and-other-defense-activities,5793,8405586582.09
089-0302,"Operation and Maintenance, Southeastern Power Administration, Power Marketing Administrations, Energy","Operation and Maintenance, Southeastern Power Administration, Power Marketing Administrations, Energy",089,0302,Department of Energy,DOE,089,Power Marketing Administration,power-marketing-administration,5795,149472218.42
089-0303,"Operation and Maintenance, Southwestern Power Administration, Power Marketing Administrations, Energy","Operation and Maintenance, Southwestern Power Administration, Power Marketing Administrations, Energy",089,0303,Department of Energy,DOE,089,Power Marketing Administration,power-marketing-administration,5796,561179206.97
089-0304,"Operation and Maintenance, Alaska Power Administration, Power Marketing Administration, Energy","Operation and Maintenance, Alaska Power Administration, Power Marketing Administration, Energy",089,0304,Department of Energy,DOE,089,Power Marketing Administration,power-marketing-administration,5797,300006.0
089-0309,"Defense Nuclear Nonproliferation, National Nuclear Security Administration, Energy","Defense Nuclear Nonproliferation, National Nuclear Security Administration, Energy",089,0309,Department of Energy,DOE,089,National Nuclear Security Administration,national-nuclear-security-administration,5798,2861283564.23
089-0312,"Cerro Grande Fire Activities, Energy","Cerro Grande Fire Activities, Energy",089,0312,Department of Energy,DOE,089,National Nuclear Security Administration,national-nuclear-security-administration,5799,
089-0313,"Federal Salaries and Expenses, National Nuclear Security Administration, Energy","Federal Salaries and Expenses, National Nuclear Security Administration, Energy",089,0313,Department of Energy,DOE,089,National Nuclear Security Administration,national-nuclear-security-administration,5800,551878325.48
089-0314,"Naval Reactors, National Nuclear Security Administration, Energy","Naval Reactors, National Nuclear Security Administration, Energy",089,0314,Department of Energy,DOE,089,National Nuclear Security Administration,national-nuclear-security-administration,5801,2103939120.1
089-0315,"Non-Defense Environmental Cleanup, Energy Programs, Energy","Non-Defense Environmental Cleanup, Energy Programs, Energy",089,0315,Department of Energy,DOE,089,Energy Programs,energy-programs,5802,618225044.7
089-0318,"Electricity, Energy Programs, Energy","Electricity, Energy Programs, Energy",089,0318,Department of Energy,DOE,089,Energy Programs,energy-programs,5803,4235836336.87
089-0319,"Nuclear Energy, Energy Programs, Energy","Nuclear Energy, Energy Programs, Energy",089,0319,Department of Energy,DOE,089,Energy Programs,energy-programs,5804,6028918530.57
089-0320,"Legacy Management, Energy Programs, Energy","Legacy Management, Energy Programs, Energy",089,0320,Department of Energy,DOE,089,Energy Programs,energy-programs,5805,
089-0321,"Energy Efficiency and Renewable Energy, Energy Programs, Energy","Energy Efficiency and Renewable Energy, Energy Programs, Energy",089,0321,Department of Energy,DOE,089,Energy Programs,energy-programs,5806,10080780428.25
089-0322,"Advanced Technology Vehicles Manufacturing Loan Program, Energy Programs, Energy","Advanced Technology Vehicles Manufacturing Loan Program, Energy Programs, Energy",089,0322,Department of Energy,DOE,089,Energy Programs,energy-programs,5807,2351298433.77
089-0323,"Advanced Technology Vehicle Manufacturing Loan Program-Recovery Act, Energy","Advanced Technology Vehicle Manufacturing Loan Program-Recovery Act, Energy",089,0323,Department of Energy,DOE,089,Energy Programs,energy-programs,5808,
089-0337,"Advanced Research Projects Agency-Energy, Energy Programs, Energy","Advanced Research Projects Agency-Energy, Energy Programs, Energy",089,0337,Department of Energy,DOE,089,Energy Programs,energy-programs,5813,1179417357.22
089-0338,"Departmental Administration - Recovery Act, Energy Programs, Energy","Departmental Administration - Recovery Act, Energy Programs, Energy",089,0338,Department of Energy,DOE,089,Departmental Administration,departmental-administration,5814,
089-0342,"Indian Energy Policy and Programs, Energy Programs, Energy","Indian Energy Policy and Programs, Energy Programs, Energy",089,0342,Department of Energy,DOE,089,Energy Programs,energy-programs,6280,196983434.74
089-0346,"Technology Transitions, Energy Programs, Energy","Technology Transitions, Energy Programs, Energy",089,0346,Department of Energy,DOE,089,Energy Programs,energy-programs,6463,422200723.95
089-0350,"Tribal Energy Loan Guarantee Program, Energy Programs, Energy","Tribal Energy Loan Guarantee Program, Energy Programs, Energy",089,0350,Department of Energy,DOE,089,Energy Programs,energy-programs,5816,22499602.99
089-0360,"Defense Production Act, Energy Programs, Energy","Defense Production Act, Energy Programs, Energy",089,0360,Department of Energy,DOE,089,Energy Programs,energy-programs,6491,677922.24
089-2250,"Cybersecurity, Energy Security, and Emergency Response, Energy Programs, Energy","Cybersecurity, Energy Security, and Emergency Response, Energy Programs, Energy",089,2250,Department of Energy,DOE,089,Energy Programs,energy-programs,6281,586653369.02
089-2297,"Clean Energy Demonstrations, Energy Programs, Energy","Clean Energy Demonstrations, Energy Programs, Energy",089,2297,Department of Energy,DOE,089,Energy Programs,energy-programs,6454,13932364984.85
089-2298,"National Energy Technology Laboratory Research and Development, Energy","National Energy Technology Laboratory Research and Development, Energy",089,2298,Department of Energy,DOE,089,Energy Programs,energy-programs,6393,23318175.65
089-2300,"Carbon Dioxide Transportation Infrastructure Finance and Innovation Program Account, Energy Programs, Energy","Carbon Dioxide Transportation Infrastructure Finance and Innovation Program Account, Energy Programs, Energy",089,2300,Department of Energy,DOE,089,Energy Programs,energy-programs,6460,2088526006.23
089-2301,"Grid Deployment, Energy Programs, Energy","Grid Deployment, Energy Programs, Energy",089,2301,Department of Energy,DOE,089,Energy Programs,energy-programs,6973,83104472.9
089-2304,"Environmental Reviews, Energy Programs, Energy","Environmental Reviews, Energy Programs, Energy",089,2304,Department of Energy,DOE,089,Energy Programs,energy-programs,6492,45437710.48
089-2305,"Energy Projects, Energy Programs, Energy","Energy Projects, Energy Programs, Energy",089,2305,Department of Energy,DOE,089,Energy Programs,energy-programs,6509,196490491.71
089-4045,"Bonneville Power Administration Fund, Power Marketing Administration, Energy","Bonneville Power Administration Fund, Power Marketing Administration, Energy",089,4045,Department of Energy,DOE,089,Power Marketing Administration,power-marketing-administration,5817,4339061378.27
089-4180,"Expenses, Isotope Production and Distribution Program Fund, Energy","Expenses, Isotope Production and Distribution Program Fund, Energy",089,4180,Department of Energy,DOE,089,Energy Programs,energy-programs,5818,470282941.17
089-4380,"Transmission Facilitation Fund, Energy Programs, Energy","Transmission Facilitation Fund, Energy Programs, Energy",089,4380,Department of Energy,DOE,089,Energy Programs,energy-programs,6642,532336500.0
089-4397,"American Energy Independence Fund, Energy Programs, Energy","American Energy Independence Fund, Energy Programs, Energy",089,4397,Department of Energy,DOE,089,Energy Programs,energy-programs,7140,2707970000.0
089-4404,"Western Area Power Administration, Borrowing Authority - Recovery Act, Energy","Western Area Power Administration, Borrowing Authority - Recovery Act, Energy",089,4404,Department of Energy,DOE,089,Power Marketing Administration,power-marketing-administration,5819,35878022.9
089-4452,"Colorado River Basins Power Marketing Fund, Western Area Power Administration, Power Marketing Administration, Energy","Colorado River Basins Power Marketing Fund, Western Area Power Administration, Power Marketing Administration, Energy",089,4452,Department of Energy,DOE,089,Power Marketing Administration,power-marketing-administration,5821,720901850.52
089-4563,"Working Capital Fund, Departmental Administration, Energy","Working Capital Fund, Departmental Administration, Energy",089,4563,Department of Energy,DOE,089,Departmental Administration,departmental-administration,5822,410169617.77
089-5068,"Construction, Rehabilitation, Operation, and Maintenance, Western Area Power Administration, Power Marketing Administration, Energy","Construction, Rehabilitation, Operation, and Maintenance, Western Area Power Administration, Power Marketing Administration, Energy",089,5068,Department of Energy,DOE,089,Power Marketing Administration,power-marketing-administration,5823,3542643076.75
089-5069,"Emergency Fund, Western Area Power Administration, Power Marketing Administration, Energy","Emergency Fund, Western Area Power Administration, Power Marketing Administration, Energy",089,5069,Department of Energy,DOE,089,Power Marketing Administration,power-marketing-administration,5824,500000.0
089-5105,"Payment to States Under Federal Power Act, Energy","Payment to States Under Federal Power Act, Energy",089,5105,Department of Energy,DOE,089,Energy Programs,energy-programs,5825,5376912.0
089-5178,"Falcon and Amistad Operating and Maintenance Fund, Energy","Falcon and Amistad Operating and Maintenance Fund, Energy",089,5178,Department of Energy,DOE,089,Power Marketing Administration,power-marketing-administration,5826,11520181.93
089-5227,"Nuclear Waste Disposal, Energy Programs, Energy","Nuclear Waste Disposal, Energy Programs, Energy",089,5227,Department of Energy,DOE,089,Energy Programs,energy-programs,5829,21950467.7
